Recipe Title,Ingredients
Albóndigas,"1 Huevo, 2 dientes de ajo, Perejil, Sal, Pan rallado o avena, Carne picada: 1/2 kg ternera y 1/4 kg cerdo, Vino blanco, Salsa de tomate o pisto, Verduras al gusto (pimiento, calabacín, etc)"
Arroz a la cubana,"Un vaso pequeño de arroz, 2 vasos de agua, 1 ajo, Brick de tomate frito, 2 huevos por persona, 1 Plátano (opcional)"
Arroz con pollo al curry,"Arroz, Agua, Pechuga de pollo, Curry, Leche de coco"
Bowl de Salmón,"600gr de salmón, 3 dientes de ajo, jengibre rallado (opcional), 3 cucharadas soperas de salsa de soja, 3 cucharadas soperas de vinagre, 2 cucharadas soperas de aceite de sésamo o 1 cucharada de aceite de oliva, 1 cucharada sopera de miel, 1-2 aguacates, 1 mango, Habas negras (black beans), 1 vaso de arroz, Aceite y vinagre, Zumo de lima o limón, Cilantro"
Bowl de tacos,"1 boniato/batata, 1 tomate, 1/2 cebolla morada (opcional), 250 gr de carne picada de mix vacuno/cerdo o solo vacuno, Dos cucharadas de queso batido, Dos cucharadas de guacamole, Cilantro, Aceite de oliva, Zumo de limón, Sal y pimienta, Mix pinchitos/tacos, Ajo en polvo"
Brocoli crujiente,"Brocoli, Sal y pimienta, Aceite de oliva, Zumo de limón (opcional)"
Carne guisada con salsa de tomate,"Tomillo, Comino, 1 Puerro (o cebolla), Bote tomate natural triturado, Aceite, Pimienta, 1 Pastilla caldo carne (no echar sal), 1/2 vaso Vino pedro Ximenez, 1 kg Carne de aguja, 3 hojas de laurel, Ajo y perejil"
Champiñones rellenos airfryer,"Champiñones enteros, Tiras de bacon, Cebolla, Queso rallado"
Contramuslos en salsa,
Crema de calabaza y zanahoria,"calabaza (la suelo comprar cortada que es mucho más fácil), 2-3 zanahorias, 2 patatas, puerro, cebolla, agua o caldo de verduras de pollo, sal y pimienta, 1 diente de ajo, comino molido, 2-4 quesitos"
Crema fría de melón,"1/2 melón, 200ml de nata o crema de soja, 1 cucharada de queso Philadelfia, 100ml de aceite de oliva, Sal, Pimienta"
Cuscus con lomo/gambas,"150 g de cuscús, 200 g de filete de lomo adobado o media bolsa de gambas congeladas, 1/2 cebolla, 1/2 pimiento rojo, 1/2 calabacín, 1 zanahoria pequeña, 1 diente de ajo, 200 ml de caldo (pollo o verduras) (opcional), Aceite de oliva virgen extra, Sal y pimienta, Comino (opcional), Pimentón dulce (opcional), Cúrcuma o curry (opcional), Zumo de limón (opcional), Perejil o cilantro (opcional)"
Dorada con cama de patatas,"2-3 patatas, 1 lomo de dorada por persona, Ajo en polvo, Perejil, Sal, Aceite, Zumo de limón"
Enchiladas,"Tortilla de maíz mediana, Judías pintas, Pollo o ternera, Queso rallado"
Espagueti Carbonara,
Espaguettis boloñesa con cosas,"400gr de carne picada mixta, 300-350gr de pasta, 1 cebolla, 2 dientes de ajo, 2 zanahorias, 1 rama de apio, 200gr de champiñones, 1 calabacín pequeño, 1 lata de tomate triturado, Laurel"
Falsa quiche,"1 tortilla de maíz, 1 huevo, Queso rallado, 1 loncha de jamón o pavo, Tomate frito, Orégano"
Fideos chinos,"Tallarines 180gr, Mix para sopa de verduras Mercadona (media bolsa) o zanahoria y col, Gambas (media bolsa de las congeladas de Mercadona), Salsa de soja, Miel, Sésamo, Jengibre en polvo, Ajo en polvo"
Filetes cinta de lomo airfrier,Filetes adobados de cinta de lomo
Filetes cinta de lomo empanados,
Filetes pollo,
Filetes pollo empanados,
